"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"268","0","0","0","0","1.01151467722607e-14","0","2.06744824129352e-14","0","9.59006642539431e-15","0"
"269","0","0","5.32806074080086e-16","0","2.12675737487854e-16","0","0","0","0","6.3574364562724e-15"
"270","0","1.86318133264542e-14","0","0","0","0","0","1.08583932198972e-14","2.25447303213927e-15","0"
"271","0","1.56400799476471e-14","0","0","0","0","1.08364212198707e-14","1.44772971050871e-14","0","0"
"272","0","0.231532170571557","0","0","0","0","0","0","0.231532170571556","0.231532170571556"
"273","0","0","0","0","2.4293458697534","0","0","4.85869173950678","2.4293458697534","0"
"274","0","0.582300076649454","0","0.853029442371437","0.853029442371437","0","0","0","0","0"
"275","0","5.56310689984311e-15","3.97256107482729e-16","8.6201276798462e-17","0","0","0","0","0","0"
"276","0","0","0.800034220493422","0.800034220493426","0","0","0","0","4.5210452634444e-15","0"
"277","6.42530532458732e-15","0","5.28666854827479e-15","0","0","7.20155027649218e-15","0","0","0","0"
"278","0","0","0","2.92116177728844","2.92116177728844","0","0","0","2.46513984218523","0"
"279","0","0","0","4.72782574799971e-15","0","0","0","9.64606757581009e-15","0","9.46379375541547e-15"
"280","0","0","0","0","0","0","2.13834703858139e-14","0","6.99716611647139e-15","5.41054699922125e-15"
"281","0.42206873421455","0","0","0","0","0","3.68715363755468e-14","0","0.42206873421455","0"
"282","0.534030990744513","0.534030990744511","0","0","0","0","0","4.50655690019664e-14","0","0"
"283","0","0","0","4.49345443373148","4.49345443373148","0","0","0","0","0.168831927546346"
"284","0","9.09124727039183e-14","0","0","0","0","2.41881596431347e-14","5.85590522081853e-14","0","0"
"285","3.03883630607718e-15","0","0","0","0","0","0","5.83831800395669e-15","3.66761167703559e-15","0"
"286","0","0","0","0","0","0","1.70119076915658e-14","0","0","1.58538361610753"
"287","0","0","1.67973788690706","1.67973788690707","0","0","0","2.22602771763361e-15","0","0"
"288","0","3.91452605162108","1.1109810141276","0","0","1.56581042064843","0","0","0","0"
"289","0","0.39758133344281","0","0","1.37097705753494e-14","0","0","0","0.39758133344281","0"
"290","0","4.83037807330414e-14","0","0","0","0","3.59846282788221e-14","4.84198700949697e-14","0","0"
"291","0","0","0","0","0.260750646544555","0","0","0","0","0"
"292","9.82332716205384e-15","0","0","0","0","0","0","1.21679418852026e-14","0","1.0755497656161e-14"
"293","3.18810043702301e-15","0","2.61688981899076e-15","0","0","4.7055284509116e-15","0","0","0","0"
"294","0.328434591678607","0.328434591678607","0","0","0","0","0","0","0.328434591678607","0"
"295","0","0","0","0.193021441937425","0","1.53839576081231e-14","0","0","1.168378024293e-14","0"
"296","0","0","0","1.35899424863661e-15","0","0","0","4.86365899116065e-15","3.35978824757183e-15","0"
"297","0","0","0","2.08436483402216","0","0","0","4.17014095967932e-15","0","4.15990344493565e-15"
"298","6.0108540437254e-15","0","0","0","0","0","0","9.16770905068634e-15","4.84668063410624e-15","0"
"299","0","6.21646107576088e-15","0","0","0.438583279296684","0","1.20957085254754e-14","0","0","0"
"300","0","0","2.07766571485994","0","0","0","0","2.35684978270815e-14","0","2.08878011731026e-14"
"301","0","2.49377273561601","2.49377273561601","0","0","0","0","0","2.49377273561601","0"
"302","0","6.41934040636694e-15","0","0","0","0","0","0","0","0"
"303","0","0","0","0","8.8372765593187e-15","0","2.19640518212809e-14","0","0","5.71749165310263e-15"
"304","0.601555241300227","0","0","0","0","0","3.48242548056708e-14","0","0.601555241300225","0"
