"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"145","0","0","0","-4.84295233265299","0","5.00000000000001","0","0","0","-5.00000000000001"
"146","0","0","2.16667415642211","0","0","-0.540725765854912","0","0.540725765854912","0","0"
"147","5","0","0","0","-5","5","0","0","0","0"
"148","-3.83958719605834","0","3.12197696667084","0","0","0","0","5","0","0"
"149","-5","0","0","0","5","0","0","0","0","5"
"150","0","0","-5","0","0","0","0","0","5","5"
"151","0","-5.00000000000005","0","5","0","0","0","5.00000000000004","0","0"
"152","0","11.4580713197287","0","0","-3.70838573605427","0","0","2.41677147210855","0","0"
"153","0","0","0","-4.79879137219441","0","0","0","0","-4.79879137219441","4.79879137219441"
"154","0","0","0","0","0","0","-5.00000000000001","0","5.00000000000001","5"
"155","0","0","0","5","0","5","5","0","0","0"
"156","-5","0","0","0","0","0","0","5","0","-5"
"157","0","-5","0","0","0","0","-5","0","0","-5"
"158","-5.00000000000001","0","0","-4.80622672073708","0","0","-4.99999999999999","0","0","0"
"159","0","0","0","2.39982224859001","0","0","0","0","2.39982224859001","-2.39982224859001"
"160","0","17.4077033053484","0","0","0","0","0","0.036918677860637","-2.5184593389303","0"
"161","0","0","0","0","-3.82189472954805","0","0","0","-5","-5"
"162","0","0","-4.56368553419887","0","0","0","0","5","5.00000000000001","0"
"163","5","0","0","0","0","0","0","-5","5","0"
"164","0","0","-0.74055961324857","0.74055961324857","0","-5.00000000000001","0","0","0","0"
"165","0","-4.52284818930146","0","0","0","0","0","4.80913927572057","5.0954303621397","0"
"166","0","0","4.75471281529342","0","0","5","0","0","5.00000000000001","0"
"167","0","5","2.46244419589646e-16","3.26468711436186e-16","0","0","0","0","0","0"
"168","-5","0","0","0","-5","0","-5","0","0","0"
"169","4.99999999999999","0","0","0","0","0","0","-5","0","-5.00000000000001"
"170","0","0","0","0","-5","-5","5","0","0","0"
"171","-4.57809510656116","0","4.57809510656116","0","0","0","0","-5","0","0"
"172","5.00000000000001","0","0","0","0","-4.83069036326831","0","-5.16930963673167","0","0"
"173","-5","-5","0","0","0","0","-5","0","0","0"
"174","0","-5","0","0","0","-4.99999999999999","0","0","0","-5"
"175","-3.53847601342394","3.53847601342394","0","0","0","0","0","0","0","6.46152398657607"
"176","-5.00000000000001","0","0","0","0","5","5.00000000000001","0","0","0"
"177","6.88770334399073","3.11229665600928","-8.82785571365886e-16","0","0","0","0","0","0","0"
"178","0","0","0","-2.97212078261706","7.02787921738295","0","0","5","0","0"
"179","0","0","0","0","0","-5.00000000000001","-5.00000000000001","-5.00000000000001","0","0"
"180","0","0","0","0","5","0","5","0","0","5"
"181","0","4.77351451317042","0","0","0","5.00000000000001","0","0","0","-4.77351451317042"
"182","0","0","0","5","0","0","5","0","0","5"
"183","0","0","-5","0","0","0","0","0","5","-5"
"184","0","0","0","-5","0","0","0","5","0","-4.99999999999999"
"185","0","0","0","0.179434567181499","0.179434567181498","5.00000000000001","0","0","0","0"
"186","0","0","0","-0.278563220189474","-0.278563220189474","0","0","-5","0","0"
"187","-5","0","0","-5","0","-5","0","0","0","0"
"188","0","0","0","0","0","0","0","5","-5","5"
"189","0","0","0","0","0","0","0","0","4.09900343224724e-17","4.00219506333745e-17"
"190","-5","0","0","0","0","0","0","-15","0","0"
"191","-4.99999999999999","0","-5","0","0","5","0","0","0","0"
